City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Kapit,MY,20-12-23 23:07:45,2.02,112.93,74.86,94,100,0.74
184,Westerland,DE,20-12-23 23:07:35,54.91,8.3,41.0,93,100,8.05
185,Alofi,NU,20-12-23 23:07:45,-19.06,-169.92,82.4,74,75,8.05
186,Bubaque,GW,20-12-23 23:07:46,11.28,-15.83,80.13,61,87,8.88
187,Mar Del Plata,AR,20-12-23 23:04:45,-38.0,-57.56,87.8,29,0,14.99
188,Chiradzulu,MW,20-12-23 23:07:47,-15.67,35.14,69.71,83,89,3.11
189,Aranos,NA,20-12-23 23:07:48,-24.13,19.12,76.69,20,75,9.98
190,Marzuq,YE,20-12-23 23:07:48,14.4,46.47,58.91,43,14,2.46
191,Santa Maria,BR,20-12-23 23:07:49,-29.68,-53.81,82.4,45,20,8.05
192,Sol-Iletsk,RU,20-12-23 23:07:49,51.16,54.99,4.57,92,99,3.89
193,Padang,ID,20-12-23 23:06:48,-0.95,100.35,76.86,80,100,4.0
194,Morros,BR,20-12-23 23:07:50,-9.45,-46.3,75.94,74,41,3.96
195,Cabo San Lucas,MX,20-12-23 23:07:17,22.89,-109.91,80.01,34,5,16.11
196,Bodden Town,KY,20-12-23 23:07:51,19.28,-81.25,82.4,74,20,11.41
197,Saint George,US,20-12-23 23:04:36,37.1,-113.58,46.4,16,1,20.8
198,Cherskiy,RU,20-12-23 23:07:52,68.75,161.3,-17.59,88,100,8.5
199,Gravelbourg,CA,20-12-23 23:07:53,49.88,-106.55,14.0,66,8,9.17
200,Waingapu,ID,20-12-23 23:07:10,-9.66,120.26,79.79,75,1,3.87
201,Tigil,RU,20-12-23 23:07:54,57.8,158.67,-8.81,89,79,4.21
202,Naples,IT,20-12-23 23:07:55,40.83,14.25,55.0,93,99,1.12
203,Ancud,CL,20-12-23 23:07:55,-41.87,-73.82,61.0,72,40,17.22
204,Telma,RU,20-12-23 23:07:56,52.7,103.71,-11.2,83,92,4.47
205,Kandrian,PG,20-12-23 23:07:56,-6.22,149.55,83.28,73,100,3.24
206,Leningradskiy,RU,20-12-23 23:07:56,69.38,178.42,2.91,93,100,4.29
207,Ilulissat,GL,20-12-23 23:07:57,69.22,-51.1,24.8,92,100,2.24
208,Nowy Dwor Gdanski,PL,20-12-23 23:07:57,54.21,19.12,34.0,90,0,5.82
209,Pouembout,NC,20-12-23 23:07:57,-21.13,164.9,85.17,62,24,3.83
210,Chengde,CN,20-12-23 23:07:58,40.97,117.94,11.41,82,0,4.25
211,Fortuna,US,20-12-23 23:03:07,40.6,-124.16,62.01,44,1,4.7
212,Kodiak,US,20-12-23 23:07:59,57.79,-152.41,37.4,59,1,3.36
213,Abnub,EG,20-12-23 23:07:59,27.27,31.15,55.4,66,0,11.41
214,La Baule-Escoublac,FR,20-12-23 23:07:59,47.29,-2.36,50.0,81,100,32.21
215,Praya,CV,20-12-23 23:08:00,14.92,-23.51,69.8,77,75,8.05
216,Clyde River,CA,20-12-23 23:08:01,70.47,-68.59,-7.6,83,75,5.82
217,Qaanaaq,GL,20-12-23 23:08:01,77.48,-69.36,-0.27,85,87,1.63
218,Dekar,BW,20-12-23 23:08:01,-21.53,21.93,78.4,42,18,8.61
219,Beroroha,MG,20-12-23 23:08:02,-21.67,45.17,78.87,71,9,1.88
220,Kaitangata,NZ,20-12-23 23:08:03,-46.28,169.85,56.5,88,100,9.26
221,Tiksi,RU,20-12-23 23:08:03,71.69,128.87,-17.64,89,100,6.33
222,Abu Samrah,SY,20-12-23 23:08:03,35.3,37.18,47.34,53,85,9.53
223,Smolyaninovo,RU,20-12-23 23:08:04,43.3,132.47,8.6,84,74,4.47
224,Niesky,DE,20-12-23 23:08:04,51.29,14.82,52.0,98,100,3.0
225,Sept-Iles,CA,20-12-23 23:08:05,50.2,-66.38,15.8,56,5,6.93
226,Koslan,RU,20-12-23 23:08:05,63.46,48.9,3.81,90,96,9.37
227,Rabo De Peixe,PT,20-12-23 23:08:05,37.8,-25.58,55.4,54,75,20.8
228,Norman Wells,CA,20-12-23 23:08:06,65.28,-126.83,-4.0,76,75,11.41
229,Alcaniz,ES,20-12-23 23:08:06,41.05,-0.13,48.99,85,34,4.0
230,San Cristobal,VE,20-12-23 23:08:07,7.77,-72.22,68.29,92,68,2.46
231,Ketchikan,US,20-12-23 23:07:18,55.34,-131.65,42.8,100,90,46.08
232,Kassala,SD,20-12-23 23:08:08,15.45,36.4,69.39,80,0,8.41
233,Mizan Teferi,ET,20-12-23 23:08:08,6.98,35.58,64.54,78,29,2.66
234,Atar,MR,20-12-23 23:08:09,20.52,-13.05,62.47,31,0,10.09
235,Constitucion,CL,20-12-23 23:03:25,-35.33,-72.42,62.55,63,0,18.68
236,Goose Creek,US,20-12-23 23:07:59,32.98,-80.03,61.0,72,75,11.41
237,Asau,RO,20-12-23 23:08:10,46.43,26.4,39.99,87,93,5.01
238,Ramona,US,20-12-23 23:08:10,33.04,-116.87,72.0,9,1,20.8
239,Brae,GB,20-12-23 23:08:11,60.4,-1.35,35.6,74,87,16.11
240,Saint-Pierre,RE,20-12-23 23:08:12,-21.34,55.48,75.2,78,0,6.93
241,Chuy,UY,20-12-23 23:08:12,-33.7,-53.46,64.92,85,0,9.66
242,Kawalu,ID,20-12-23 23:08:12,-7.38,108.21,73.13,90,46,1.25
243,Geraldton,AU,20-12-23 23:04:05,-28.77,114.6,73.4,56,0,8.05
244,Linxia,CN,20-12-23 23:08:13,35.6,103.21,16.16,80,30,1.9
245,Yazoo City,US,20-12-23 23:08:14,32.86,-90.41,64.4,100,75,5.82
246,Chino Valley,US,20-12-23 23:08:14,34.76,-112.45,46.99,15,1,12.75
247,Polunochnoye,RU,20-12-23 23:08:15,60.87,60.42,-12.15,88,100,6.58
248,Alyangula,AU,20-12-23 23:08:15,-13.85,136.42,82.4,83,40,4.7
249,Vavuniya,LK,20-12-23 23:08:15,8.75,80.5,70.75,96,89,3.78
250,Konstantinovsk,RU,20-12-23 23:08:16,47.58,41.09,21.0,93,37,8.84
251,Mana,GF,20-12-23 23:08:16,5.66,-53.78,77.54,89,100,9.95
252,Koumac,NC,20-12-23 23:08:17,-20.57,164.28,82.11,66,52,4.36
253,Henderson,US,20-12-23 23:07:07,36.04,-114.98,51.8,12,1,17.22
254,Cintalapa,MX,20-12-23 23:08:18,16.7,-93.73,81.43,59,0,2.19
255,Tuy Hoa,VN,20-12-23 23:08:18,13.08,109.3,72.27,89,88,6.85
256,Maryborough,AU,20-12-23 23:08:18,-25.53,152.7,82.0,57,80,7.0
257,Chapais,CA,20-12-23 23:08:19,49.78,-74.85,10.4,85,90,16.11
258,Te Anau,NZ,20-12-23 23:08:19,-45.42,167.72,58.5,84,85,1.59
259,Homer,US,20-12-23 23:07:32,59.64,-151.55,39.2,69,40,9.17
260,Yefremov,RU,20-12-23 23:08:20,53.15,38.1,6.78,95,63,9.26
261,Marsh Harbour,BS,20-12-23 23:05:19,26.54,-77.06,73.45,73,38,18.01
262,Nome,US,20-12-23 23:08:21,64.5,-165.41,26.6,79,75,12.75
263,Teya,RU,20-12-23 23:08:22,60.38,92.63,-29.99,80,65,2.51
264,Ponta Delgada,PT,20-12-23 23:04:33,37.73,-25.67,55.4,54,75,20.8
265,Segovia,ES,20-12-23 23:08:24,41.17,-4.0,46.0,97,100,6.31
266,Praia Da Vitoria,PT,20-12-23 23:08:25,38.73,-27.07,57.2,62,75,24.81
267,Kavieng,PG,20-12-23 23:08:26,-2.57,150.8,84.99,68,93,4.92
268,Nanortalik,GL,20-12-23 23:08:26,60.14,-45.24,36.23,92,100,15.95
269,Bara,NG,20-12-23 23:08:27,10.37,10.73,73.26,21,41,6.76
270,Safford,US,20-12-23 23:08:27,32.83,-109.71,59.0,13,1,27.51
271,Yulara,AU,20-12-23 23:08:27,-25.24,130.99,68.0,45,1,13.87
272,Nanakuli,US,20-12-23 23:08:28,21.39,-158.15,80.6,61,1,6.93
273,Le Port,RE,20-12-23 23:08:28,-20.94,55.29,75.2,78,75,21.92
274,Nouadhibou,MR,20-12-23 23:08:28,20.93,-17.03,68.0,42,0,9.17
275,Bilibino,RU,20-12-23 23:08:29,68.05,166.44,-31.36,80,100,3.83
276,Kupang,ID,20-12-23 23:06:46,-10.17,123.58,75.2,100,75,2.24
277,Kavaratti,IN,20-12-23 23:08:30,10.57,72.64,81.7,77,49,11.5
278,Mogadishu,SO,20-12-23 23:08:30,2.04,45.34,77.59,82,27,19.44
279,Sao Joao Da Barra,BR,20-12-23 23:08:30,-21.64,-41.05,73.4,94,90,16.11
280,Berbera,SO,20-12-23 23:08:31,10.44,45.01,75.61,67,15,4.99
